,par_name,par.est,par.se,tstat,category,format,brand,NS
420,cop_compprice,0.074730235,0.025228618,2.962121589,Yogurt,supermarket,Valio,S
421,model_SE,0.055709905,0.006384616,8.725647563,Yogurt,supermarket,Valio,S
446,constant,0.003214694,0.166033117,0.019361762,Yogurt,hypermarket,Yoggi,NS
447,price_elas,-4.185024552,NaN,NA,Yogurt,hypermarket,Yoggi,#VALUE!
448,hgap_gain_slope,1.26580443,NaN,NA,Yogurt,hypermarket,Yoggi,#VALUE!
449,hgap_gain_threshold,-0.229999054,0.021369897,-10.76275928,Yogurt,hypermarket,Yoggi,S
450,hgap_loss_slope,1.118121988,NaN,NA,Yogurt,hypermarket,Yoggi,#VALUE!
451,hgap_loss_threshold,0.147157847,NaN,NA,Yogurt,hypermarket,Yoggi,#VALUE!
452,compprice,-0.084624093,0.467800073,-0.18089799,Yogurt,hypermarket,Yoggi,NS
453,campaign,0.01677619,0.156208518,0.10739613,Yogurt,hypermarket,Yoggi,NS
454,ethat,-0.990939357,NaN,NA,Yogurt,hypermarket,Yoggi,#VALUE!
455,holiday,0.034274133,0.034704982,0.987585378,Yogurt,hypermarket,Yoggi,NS
456,cop_price,0.05304233,NaN,NA,Yogurt,hypermarket,Yoggi,#VALUE!
457,cop_compprice,0.055277927,NaN,NA,Yogurt,hypermarket,Yoggi,#VALUE!
458,model_SE,0.027078209,0.003096186,8.745665761,Yogurt,hypermarket,Yoggi,S
459,constant,-0.146631022,0.080530227,-1.820819682,Yogurt,supermarket,Yoggi,NS
460,price_elas,-5.14222451,0.455213598,-11.29628932,Yogurt,supermarket,Yoggi,S
461,hgap_gain_slope,-0.514113554,NaN,NA,Yogurt,supermarket,Yoggi,#VALUE!
462,hgap_gain_threshold,-0.386025113,NaN,NA,Yogurt,supermarket,Yoggi,#VALUE!
463,hgap_loss_slope,2.195888586,0.584062346,3.759681821,Yogurt,supermarket,Yoggi,S
464,hgap_loss_threshold,0.089985084,0.014545437,6.186482144,Yogurt,supermarket,Yoggi,S
465,compprice,-0.149112761,0.730910172,-0.204009695,Yogurt,supermarket,Yoggi,NS
466,campaign,0.08849591,0.074980346,1.180254766,Yogurt,supermarket,Yoggi,NS
467,ethat,-0.80968451,0.080699975,-10.03326839,Yogurt,supermarket,Yoggi,S
468,holiday,0.018252433,0.041756673,0.437114159,Yogurt,supermarket,Yoggi,NS
469,cop_price,0.271699315,0.080982573,3.355034354,Yogurt,supermarket,Yoggi,S
470,cop_compprice,0.052755104,0.028174241,1.872458711,Yogurt,supermarket,Yoggi,NS
471,model_SE,0.038572286,0.004417473,8.731752652,Yogurt,supermarket,Yoggi,S
472,constant,-0.16659188,0.071702343,-2.323381249,Yogurt,convenience,Yoggi,S
473,price_elas,-0.636493136,0.784262717,-0.811581531,Yogurt,convenience,Yoggi,NS
474,hgap_gain_slope,-2.953753751,1.605388404,-1.839899768,Yogurt,convenience,Yoggi,NS
475,hgap_gain_threshold,-0.13459279,0.029418132,-4.575164402,Yogurt,convenience,Yoggi,S
476,hgap_loss_slope,-4.676160312,1.927948835,-2.425458719,Yogurt,convenience,Yoggi,S
477,hgap_loss_threshold,0.209853145,0.047219914,4.444166164,Yogurt,convenience,Yoggi,S
478,compprice,0.717659178,1.08559177,0.661076472,Yogurt,convenience,Yoggi,NS
479,campaign,0.278276647,0.071991113,3.865430575,Yogurt,convenience,Yoggi,S
480,ethat,-0.781838301,0.076821316,-10.17736149,Yogurt,convenience,Yoggi,S
481,holiday,-0.04581904,0.084452346,-0.542543134,Yogurt,convenience,Yoggi,NS
482,cop_price,0.140043535,0.179425173,0.780512193,Yogurt,convenience,Yoggi,NS
483,cop_compprice,-0.014458919,0.056802051,-0.254549239,Yogurt,convenience,Yoggi,NS
484,model_SE,0.167367736,0.019196775,8.718533898,Yogurt,convenience,Yoggi,S
525,constant,-0.317959909,0.078222346,-4.064821931,Yogurt,supermarket,Fjällfil,S
526,price_elas,-1.109699434,0.512698176,-2.164430234,Yogurt,supermarket,Fjällfil,S
527,hgap_gain_slope,-5.824812777,NaN,NA,Yogurt,supermarket,Fjällfil,#VALUE!
528,hgap_gain_threshold,-0.303299506,NaN,NA,Yogurt,supermarket,Fjällfil,#VALUE!
529,hgap_loss_slope,-2.326638341,1.55386201,-1.497326227,Yogurt,supermarket,Fjällfil,NS
530,hgap_loss_threshold,0.230205051,0.046035086,5.000643496,Yogurt,supermarket,Fjällfil,S
531,compprice,-0.716111221,1.478645336,-0.484302222,Yogurt,supermarket,Fjällfil,NS
532,campaign,0.45470861,0.078569581,5.787336572,Yogurt,supermarket,Fjällfil,S
533,ethat,-0.74385557,0.068637017,-10.8375277,Yogurt,supermarket,Fjällfil,S
534,holiday,-0.186310685,0.084442479,-2.206362087,Yogurt,supermarket,Fjällfil,S
535,cop_price,0.05107698,0.095962703,0.532258658,Yogurt,supermarket,Fjällfil,NS
536,cop_compprice,-0.037457305,0.060864173,-0.615424533,Yogurt,supermarket,Fjällfil,NS
537,model_SE,0.162380665,0.018624561,8.718630309,Yogurt,supermarket,Fjällfil,S
538,constant,-0.126751338,0.060252676,-2.103663197,Yogurt,hypermarket,Danonino,S
539,price_elas,-1.128470081,0.376281171,-2.999007571,Yogurt,hypermarket,Danonino,S
540,hgap_gain_slope,-1.004802906,0.769934156,-1.305050436,Yogurt,hypermarket,Danonino,NS
541,hgap_gain_threshold,-0.266291323,4.89667275,-0.054382095,Yogurt,hypermarket,Danonino,NS
542,hgap_loss_slope,-5.611635097,0.850163915,-6.600650767,Yogurt,hypermarket,Danonino,S
543,hgap_loss_threshold,0.207064738,0.013037272,15.88252059,Yogurt,hypermarket,Danonino,S
544,compprice,0.142912147,0.663688793,0.215330058,Yogurt,hypermarket,Danonino,NS
545,campaign,0.014008334,0.043513529,0.321930552,Yogurt,hypermarket,Danonino,NS
546,ethat,-0.715206047,0.078947411,-9.059271653,Yogurt,hypermarket,Danonino,S
547,holiday,0.077193629,0.054344596,1.420447211,Yogurt,hypermarket,Danonino,NS
548,cop_price,0.095089381,0.039510464,2.406688566,Yogurt,hypermarket,Danonino,S
549,cop_compprice,-0.016864171,0.035857194,-0.470314848,Yogurt,hypermarket,Danonino,NS
550,model_SE,0.066045601,0.007571916,8.722442458,Yogurt,hypermarket,Danonino,S
551,constant,0.200785543,0.151299664,1.327071965,Yogurt,hypermarket,Skånemejerier,NS
552,price_elas,-4.332970163,1.800127161,-2.407035601,Yogurt,hypermarket,Skånemejerier,S
553,hgap_gain_slope,-1.092874192,1.709774142,-0.63919214,Yogurt,hypermarket,Skånemejerier,NS
554,hgap_gain_threshold,-0.112482238,0.026679816,-4.216005013,Yogurt,hypermarket,Skånemejerier,S
555,hgap_loss_slope,2.618608513,2.174684121,1.204132815,Yogurt,hypermarket,Skånemejerier,NS
556,hgap_loss_threshold,0.006400086,0.041661225,0.153622131,Yogurt,hypermarket,Skånemejerier,NS
557,compprice,0.204048501,1.044842506,0.195291156,Yogurt,hypermarket,Skånemejerier,NS
558,campaign,-0.109949004,0.150394357,-0.731071338,Yogurt,hypermarket,Skånemejerier,NS
559,ethat,-0.485234935,0.06824931,-7.109741304,Yogurt,hypermarket,Skånemejerier,S
560,holiday,-0.083048822,0.085483208,-0.971522061,Yogurt,hypermarket,Skånemejerier,NS
561,cop_price,0.37358069,0.206518817,1.808942619,Yogurt,hypermarket,Skånemejerier,NS
562,cop_compprice,0.059733758,0.053562361,1.115218905,Yogurt,hypermarket,Skånemejerier,NS
563,model_SE,0.154405037,0.01770991,8.718566955,Yogurt,hypermarket,Skånemejerier,S
