"","par_name","par.est","par.se","tstat","category","format","brand"
"1","constant","-0.150090419509617","0.0990599314508555",-1.51514762135766,"Bottled water","hypermarket","ICA"
"2","price_elas","-0.8582104418151","0.449254830140891",-1.91029764008537,"Bottled water","hypermarket","ICA"
"3","compprice","0.151740453875985","0.204475686705176",0.742095338184498,"Bottled water","hypermarket","ICA"
"4","campaign","0.158750268632366","0.0899010830518339",1.76583266011196,"Bottled water","hypermarket","ICA"
"5","ethat","-0.769791257106124","0.0849704547982976",-9.05951673359229,"Bottled water","hypermarket","ICA"
"6","holiday","0.0573761641852593","0.0627813799002172",0.913904158788023,"Bottled water","hypermarket","ICA"
"7","cop_price","0.0261415494035572","0.0611161354723615",0.427735641357415,"Bottled water","hypermarket","ICA"
"8","cop_compprice","0.0303895487217012","0.0466205952806124",0.651848148630118,"Bottled water","hypermarket","ICA"
"9","constant","-0.126133569507293","0.0701433698507836",-1.79822511772129,"Bottled water","supermarket","ICA"
"10","price_elas","-0.451979886616818","0.1506880581033",-2.99944064782477,"Bottled water","supermarket","ICA"
"11","cgap_gain_slope","4.77549448127792","3.17490274491456",1.50413882407174,"Bottled water","supermarket","ICA"
"12","cgap_gain_threshold","-0.731194380843644","1.22705531762392",-0.595893575735065,"Bottled water","supermarket","ICA"
"13","cgap_loss_slope","-0.149057911005045","0.29678067787828",-0.502249378465868,"Bottled water","supermarket","ICA"
"14","cgap_loss_threshold","-0.0173760985481113","0.0616248659430273",-0.281965701380603,"Bottled water","supermarket","ICA"
"15","compprice","-0.177012365781224","0.204102565829102",-0.867271634054023,"Bottled water","supermarket","ICA"
"16","campaign","0.163223225769387","0.0654559645716518",2.49363410710591,"Bottled water","supermarket","ICA"
"17","ethat","-0.714898542385115","0.0755426676620324",-9.46350671098185,"Bottled water","supermarket","ICA"
"18","holiday","0.170788516408905","0.0751957430463825",2.27125246044259,"Bottled water","supermarket","ICA"
"19","cop_price","0.0648440112101645","0.048534557202217",1.33603796857556,"Bottled water","supermarket","ICA"
"20","cop_compprice","0.103289526098116","0.0573210314958007",1.80194814019847,"Bottled water","supermarket","ICA"
"21","model_SE","0.131035471991646","0.0150287504161838",8.7189865000712,"Bottled water","supermarket","ICA"
"22","constant","-0.494904598656973","0.104471918199057",-4.7372021801495,"Bottled water","convenience","ICA"
"23","price_elas","-0.731882320913808","0.147533549425606",-4.96078569087,"Bottled water","convenience","ICA"
