"","brand","p-value-LRhist","p-value-LRcomp","Coef Price","Sd Price","RsqLinear","RsqHist","RsqComp","format","category","modeldecision"
"41","Pringles",0.4857,0.0144,0.508413224633879,0.593111819405352,0.7044,0.7072,0.7242,"supermarket","Chips & Salty snacks","compgap"
"42","Estrella",0.1732,0.1746,-0.186142383860052,0.215494645380376,0.8535,0.8569,0.8583,"convenience","Chips & Salty snacks","linearity"
"43","ICA",0.4459,0.2943,-0.859607071655084,0.193882396432052,0.8046,0.8067,0.8093,"convenience","Chips & Salty snacks","linearity"
"44","Olw",6e-04,0.0133,-0.693230271275742,0.132127836092887,0.8393,0.8543,0.8502,"convenience","Chips & Salty snacks","fullmodel"
"45","Cloetta",0,0.0774,-2.44946765543528,0.37843397134894,0.6479,0.7049,0.6634,"hypermarket","Chocolate","histgap"
"46","Fazer",0.0063,0.3403,-2.60958663714451,0.229926927322807,0.7931,0.8064,0.7976,"hypermarket","Chocolate","histgap"
"47","Oboy",0.1114,0.1341,0.343928677605384,0.369414324695975,0.5796,0.5916,0.5947,"hypermarket","Chocolate","linearity"
"48","Lindt",0.47,0.102,-2.91731867883412,0.198301717299066,0.891,0.8921,0.8954,"hypermarket","Chocolate","linearity"
"49","Marabou",0.013,0.0129,-2.07406508983044,0.133490939319836,0.7941,0.8056,0.8082,"hypermarket","Chocolate","fullmodel"
"50","Cloetta",0.1441,0.9865,-1.38043947732358,0.287269652469605,0.6581,0.6667,0.6584,"supermarket","Chocolate","linearity"
"51","Fazer",0.1443,0.0935,-1.69147156123587,0.244492686608874,0.7094,0.7167,0.7214,"supermarket","Chocolate","linearity"
"52","Oboy",0.1931,0.4935,0.484098882285307,0.412409568613345,0.5187,0.529,0.5262,"supermarket","Chocolate","linearity"
"53","Lindt",0.3331,0.057,-2.3913897774122,0.134073414151338,0.8864,0.8881,0.8919,"supermarket","Chocolate","linearity"
"54","Marabou",0,0.0131,-2.81627858025344,0.198447794136452,0.7898,0.8283,0.8041,"supermarket","Chocolate","fullmodel"
"55","Cloetta",0.1179,0.3216,-0.60954216946731,0.291187731113073,0.7531,0.76,0.7588,"convenience","Chocolate","linearity"
"56","Fazer",0.5872,0.2619,-1.14801199184769,0.303362312652972,0.7953,0.7967,0.8006,"convenience","Chocolate","linearity"
"57","Marabou",0.0529,0.1824,-2.21422839574974,0.24775253744761,0.8358,0.8421,0.841,"convenience","Chocolate","linearity"
"58","Arla Ko",0.6005,0.61,-2.34064644663001,0.326021136032873,0.5737,0.5765,0.5788,"hypermarket","Yogurt","linearity"
"59","Valio",0.0057,0.1384,-3.18174291056154,0.199954630840989,0.8539,0.8635,0.8591,"hypermarket","Yogurt","histgap"
"60","ICA",0.0168,0.2623,0.416840146515547,0.378895085324281,0.6654,0.6829,0.6741,"hypermarket","Yogurt","histgap"
"61","Verum",0.3031,0.7298,-1.51842466197858,0.304366159752959,0.6518,0.6573,0.6548,"hypermarket","Yogurt","linearity"
"62","Yoggi",1e-04,0.3933,-3.00048140674282,0.139780391155118,0.8954,0.9078,0.8974,"hypermarket","Yogurt","histgap"
"63","Danonino",0.5637,0.3184,-0.862588379857976,0.348332726515586,0.6908,0.6931,0.6979,"hypermarket","Yogurt","linearity"
"64","Skånemejerier",0.0235,0.008,-2.62643558255004,0.447993365676457,0.7495,0.7615,0.7682,"hypermarket","Yogurt","fullmodel"
"65","Yoplait",0.111,0.0858,-0.0660614327068342,0.307532815050674,0.6085,0.6197,0.6252,"hypermarket","Yogurt","linearity"
"66","Gefleortens",0.1943,0.1221,-0.85808521961127,0.332073524099346,0.7971,0.8014,0.8047,"hypermarket","Yogurt","linearity"
"67","Fjällfil",0.677,0.527,-1.32731916743104,0.27412615572604,0.7537,0.755,0.7573,"hypermarket","Yogurt","linearity"
"68","Tiger",0.0281,0.64,-0.547704549908514,0.354503100245349,0.6114,0.6292,0.6157,"hypermarket","Yogurt","histgap"
"69","Activia",0.1006,0.7667,-1.3237652245208,0.292499140181557,0.7282,0.7363,0.7303,"supermarket","Yogurt","linearity"
"70","Yoggi",0.0733,0.4025,-3.75539030629867,0.235546265321671,0.8246,0.8306,0.828,"supermarket","Yogurt","linearity"
"71","ICA",0.4582,0.9492,-1.97474322488251,0.308270914857349,0.6934,0.6966,0.6941,"supermarket","Yogurt","linearity"
"72","Yoplait",0.2466,0.2929,-0.121437637476981,0.238731343988728,0.8244,0.8276,0.8287,"supermarket","Yogurt","linearity"
"73","Fjällfil",0.716,0.0775,-1.86139090364129,0.407976243321217,0.7265,0.7277,0.7385,"supermarket","Yogurt","linearity"
"74","Arla Ko",0.2268,0.2806,-1.36769973452742,0.281689467911817,0.6463,0.6532,0.6551,"supermarket","Yogurt","linearity"
"75","Valio",0.0011,0.2144,-2.68968985135028,0.301758587649204,0.8199,0.8353,0.8252,"supermarket","Yogurt","histgap"
"76","Falköpings Mejeri",8e-04,0.9764,-0.287877733904639,0.63568417608548,0.5453,0.5861,0.546,"supermarket","Yogurt","histgap"
"77","Verum",0.1434,0.3835,-1.28189901548947,0.378906018799721,0.7116,0.7189,0.7174,"supermarket","Yogurt","linearity"
"78","Arla Ko",0.6347,0.2472,-2.41847344646824,0.397082901965841,0.6349,0.6371,0.6447,"convenience","Yogurt","linearity"
"79","ICA",0.3834,0.4866,-2.20211062436941,0.346517325615463,0.7311,0.7345,0.7354,"convenience","Yogurt","linearity"
"80","Yoggi",0.4501,0.501,-1.45177161803566,0.436590321435159,0.8441,0.8457,0.8465,"convenience","Yogurt","linearity"
"81","Valio",0.0343,0.8742,-0.978942163106818,0.336008199232165,0.7783,0.7879,0.7793,"convenience","Yogurt","histgap"
"82","Verum",0.9265,0.9759,-1.01936846272776,0.898946050669144,0.7695,0.7698,0.7698,"convenience","Yogurt","linearity"
