"","brand","p-value-LRhist","p-value-LRcomp","Coef Price","Sd Price","RsqLinear","RsqHist","RsqComp","format","category","modeldecision"
"41","Pringles",0.2564,0.2392,-1.43954947824199,0.735242558295529,0.3967,0.4074,0.4132,"supermarket","Chips & Salty snacks","linearity"
"42","Estrella",0.2761,0.3896,-0.962589454185533,0.394566103115625,0.3528,0.3637,0.3655,"convenience","Chips & Salty snacks","linearity"
"43","ICA",0.6758,0.3612,-0.819262836036916,0.263405059640635,0.4573,0.4601,0.4686,"convenience","Chips & Salty snacks","linearity"
"44","Olw",0.1717,0.2254,-1.38638511851417,0.191633664805324,0.5767,0.5864,0.5886,"convenience","Chips & Salty snacks","linearity"
"45","Cloetta",0.005,0.0061,-3.28042818232211,0.381643899582197,0.5575,0.5873,0.5922,"hypermarket","Chocolate","fullmodel"
"46","Fazer",0.3082,0.1044,-2.98531361321013,0.236135109960136,0.7273,0.7314,0.7381,"hypermarket","Chocolate","linearity"
"47","Oboy",0.0499,0.9954,0.355872351694274,0.321448984812546,0.5007,0.52,0.5009,"hypermarket","Chocolate","histgap"
"48","Lindt",0.6148,0.8702,-3.958438855602,0.187101081767238,0.8296,0.8307,0.8304,"hypermarket","Chocolate","linearity"
"49","Marabou",0.17,0.0013,-2.02714951474798,0.134521558466381,0.7391,0.7452,0.7649,"hypermarket","Chocolate","compgap"
"50","Cloetta",0.6917,0.7315,-2.35440733186955,0.311074254590745,0.5261,0.5284,0.5301,"supermarket","Chocolate","linearity"
"51","Fazer",0.2455,0.3379,-2.11958415791993,0.247354001998696,0.6183,0.6253,0.6266,"supermarket","Chocolate","linearity"
"52","Oboy",0.0054,0.4167,0.967508670141182,0.379202791736274,0.4135,0.4524,0.4243,"supermarket","Chocolate","histgap"
"53","Lindt",0.224,0.001,-2.69140756338239,0.175554400402181,0.7468,0.7517,0.7724,"supermarket","Chocolate","compgap"
"54","Marabou",2e-04,0.0382,-2.49225295964192,0.204151537683213,0.6985,0.7309,0.7148,"supermarket","Chocolate","fullmodel"
"55","Cloetta",0.3621,0.2952,-1.24437285637719,0.380949009416673,0.4709,0.4779,0.4836,"convenience","Chocolate","linearity"
"56","Fazer",0.1892,0.0645,-1.51447328357904,0.408265917519663,0.4482,0.4601,0.4738,"convenience","Chocolate","compgap"
"57","Marabou",0.1207,0.1727,-3.07030534262161,0.288747882463831,0.668,0.6771,0.6787,"convenience","Chocolate","linearity"
"58","Arla Ko",0.7489,0.7387,-2.57745905962155,0.361420233174343,0.4375,0.4397,0.4422,"hypermarket","Yogurt","linearity"
"59","Valio",0.0237,0.9813,-3.31562781840713,0.225278275683772,0.791,0.8011,0.7913,"hypermarket","Yogurt","histgap"
"60","ICA",0.0823,0.7059,1.14197094098435,0.366902727869609,0.5129,0.5287,0.5174,"hypermarket","Yogurt","histgap"
"61","Verum",0.1037,0.1516,-1.8516645984822,0.31518212666634,0.5105,0.5249,0.5272,"hypermarket","Yogurt","linearity"
