"","brand","p-value-LRhist","p-value-LRcomp","Coef Price","Sd Price","RsqLinear","RsqHist","RsqComp","format","category","modeldecision"
"1","ICA",0.2833,0.9767,-0.866513672043085,0.433248785475375,0.4506,0.4596,0.4513,"hypermarket","Bottled water","linearity"
"2","Loka",0.2393,0.2798,-0.548551741234578,0.139046076137332,0.4732,0.483,0.4863,"hypermarket","Bottled water","linearity"
"3","Ramlösa",0.6738,0.2354,-1.07384137804808,0.25874294787567,0.5296,0.532,0.5425,"hypermarket","Bottled water","linearity"
"4","ICA",0.1295,0,-0.347784126224437,0.176567460593025,0.359,0.376,0.4952,"supermarket","Bottled water","compgap"
"5","Loka",0,0.0064,-0.319273269975609,0.114649454475897,0.3043,0.4368,0.3584,"supermarket","Bottled water","fullmodel"
"6","Ramlösa",0.0931,0.0437,-1.10256745828872,0.241425297005828,0.5797,0.5927,0.6016,"supermarket","Bottled water","fullmodel"
"7","ICA",0.1076,0.8189,-0.728218126566918,0.147750921997448,0.6283,0.639,0.6306,"convenience","Bottled water","linearity"
"8","Loka",0.2544,0.5779,-0.856242770907465,0.288928923741376,0.4665,0.476,0.4734,"convenience","Bottled water","linearity"
"9","Ramlösa",0.5225,0.5702,-0.305543110251654,0.474370801162888,0.3773,0.3826,0.3855,"convenience","Bottled water","linearity"
"10","Becel",0.3711,0.22,-1.46371908861562,0.172258757726224,0.6707,0.675,0.6802,"hypermarket","Butter","linearity"
"11","Valio",0.0015,0.5936,-4.0770710361616,0.557137938356466,0.6519,0.6804,0.6562,"hypermarket","Butter","histgap"
"12","Kronjäst",0.0114,0.3345,-2.08136771416529,0.0732825091558847,0.8936,0.8997,0.896,"hypermarket","Butter","histgap"
"13","ICA",0.0011,0.452,0.874853956467895,0.222429393686864,0.5267,0.5671,0.5349,"hypermarket","Butter","histgap"
"14","Bregott",0.1918,0.3071,-1.57455228022926,0.442977664398005,0.5582,0.5677,0.5685,"hypermarket","Butter","linearity"
"15","Milda",0.5185,0.913,-3.16597903188669,0.208049483025717,0.7846,0.7865,0.7854,"hypermarket","Butter","linearity"
"16","Flora",0.1644,0.2248,-3.22069494258254,0.329354091316255,0.6179,0.6269,0.6287,"hypermarket","Butter","linearity"
"17","Svenskt smör",0.3472,0.0078,-1.14855774782082,0.541584588523886,0.6088,0.6142,0.6382,"hypermarket","Butter","compgap"
"18","Becel",0.0906,0.0438,-1.30631356184258,0.197747188541813,0.5945,0.6071,0.6156,"supermarket","Butter","fullmodel"
"19","Svenskt smör",0.4487,0.1869,-2.03245352885465,0.402138746205186,0.5963,0.6006,0.6089,"supermarket","Butter","linearity"
"20","Kronjäst",0.2459,0.4599,-1.47255577288316,0.10809164519789,0.7152,0.7204,0.72,"supermarket","Butter","linearity"
"21","ICA",0.0029,0.1341,1.30039814392168,0.259100263266779,0.5311,0.5658,0.548,"supermarket","Butter","histgap"
"22","Bregott",0.0689,0.7086,-1.43063005976101,0.310858760035358,0.5234,0.5399,0.5278,"supermarket","Butter","histgap"
"23","Lätta",0,0.0208,-0.289433827387087,0.799655245070069,0.5716,0.6272,0.5982,"supermarket","Butter","fullmodel"
